Code Year       MAB     MAB40
AUT  1951     28.05     27.41
AUT  1952     27.98     27.38
AUT  1953     27.89     27.30
AUT  1954     27.87     27.29
AUT  1955     27.85     27.31
AUT  1956     27.83     27.29
AUT  1957     27.80     27.26
AUT  1958     27.69     27.19
AUT  1959     27.63     27.13
AUT  1960     27.58     27.10
AUT  1961     27.52     27.05
AUT  1962     27.47     26.99
AUT  1963     27.41     26.95
AUT  1964     27.38     26.89
AUT  1965     27.26     26.80
AUT  1966     27.11     26.66
AUT  1967     26.97     26.54
AUT  1968     26.85     26.42
AUT  1969     26.76     26.34
AUT  1970     26.67     26.25
AUT  1971     26.67     26.22
AUT  1972     26.53     26.08
AUT  1973     26.41     25.97
AUT  1974     26.31     25.87
AUT  1975     26.27     25.87
AUT  1976     26.24     25.88
AUT  1977     26.27     25.91
AUT  1978     26.25     25.93
AUT  1979     26.27     25.98
AUT  1980     26.27     26.01
AUT  1981     26.33     26.09
AUT  1982     26.35     26.11
AUT  1983     26.47     26.24
AUT  1984     26.56     26.35
AUT  1985     26.68     26.48
AUT  1986     26.77     26.56
AUT  1987     26.91     26.70
AUT  1988     26.95     26.75
AUT  1989     27.07     26.88
AUT  1990     27.21     27.01
AUT  1991     27.22     27.03
AUT  1992     27.26     27.07
AUT  1993     27.31     27.11
AUT  1994     27.50     27.29
AUT  1995     27.66     27.45
AUT  1996     27.81     27.60
AUT  1997     27.93     27.70
AUT  1998     28.02     27.79
AUT  1999     28.15     27.90
AUT  2000     28.22     27.98
AUT  2001     28.39     28.12
AUT  2002     28.57     28.30
AUT  2003     28.77     28.48
AUT  2004     28.84     28.56
AUT  2005     29.03     28.73
AUT  2006     29.21     28.88
AUT  2007     29.37     29.04
AUT  2008     29.49     29.14
AUT  2009     29.68     29.31
AUT  2010     29.83     29.46
AUT  2011     30.03     29.63
AUT  2012     30.19     29.78
AUT  2013     30.32     29.89
AUT  2014     30.42     30.00
AUT  2015     30.57     30.12
AUT  2016     30.63     30.17
AUT  2017     30.72     30.26
BLR  1964     28.40     27.82
BLR  1965     28.33     27.74
BLR  1966     28.22     27.66
BLR  1967     27.98     27.49
BLR  1968     27.92     27.39
BLR  1969     27.74     27.28
BLR  1970     27.46     27.06
BLR  1971     27.27     26.89
BLR  1972     27.16     26.79
BLR  1973     27.08     26.72
BLR  1974     26.94     26.61
BLR  1975     26.79     26.47
BLR  1976     26.61     26.31
BLR  1977     26.51     26.20
BLR  1978     26.26     25.99
BLR  1979     26.09     25.84
BLR  1980     25.94     25.71
BLR  1981     26.02     25.79
BLR  1982     25.98     25.77
BLR  1983     26.06     25.88
BLR  1984     25.94     25.76
BLR  1985     25.84     25.66
BLR  1986     26.03     25.83
BLR  1987     25.71     25.52
BLR  1988     25.67     25.48
BLR  1989     25.44     25.27
BLR  1990     25.15     25.00
BLR  1991     24.99     24.84
BLR  1992     24.88     24.73
BLR  1993     24.90     24.76
BLR  1994     24.87     24.73
BLR  1995     24.92     24.77
BLR  1996     24.96     24.82
BLR  1997     25.07     24.92
BLR  1998     25.27     25.14
BLR  1999     25.35     25.22
BLR  2000     25.57     25.44
BLR  2001     25.70     25.56
BLR  2002     25.87     25.73
BLR  2003     25.97     25.81
BLR  2004     26.16     26.00
BLR  2005     26.39     26.23
BLR  2006     26.55     26.40
BLR  2007     26.82     26.66
BLR  2008     26.97     26.80
BLR  2009     27.14     26.95
BLR  2010     27.37     27.18
BLR  2011     27.48     27.28
BLR  2012     27.54     27.33
BLR  2013     27.77     27.55
BLR  2014     27.95     27.71
BLR  2015     28.20     27.95
BLR  2016     28.38     28.12
BGR  1947     27.24     26.72
BGR  1948     27.16     26.64
BGR  1949     27.03     26.51
BGR  1950     27.04     26.46
BGR  1951     26.68     26.16
BGR  1952     26.54     26.06
BGR  1953     26.43     25.94
BGR  1954     26.33     25.88
BGR  1955     26.13     25.68
BGR  1956     25.92     25.49
BGR  1957     25.56     25.19
BGR  1958     25.48     25.12
BGR  1959     25.17     24.85
BGR  1960     25.07     24.77
BGR  1961     25.06     24.80
BGR  1962     25.10     24.82
BGR  1963     25.01     24.76
BGR  1964     24.87     24.63
BGR  1965     24.85     24.63
BGR  1966     24.75     24.54
BGR  1967     24.67     24.47
BGR  1968     24.71     24.53
BGR  1969     24.78     24.61
BGR  1970     24.67     24.52
BGR  1971     24.55     24.40
BGR  1972     24.47     24.32
BGR  1973     24.42     24.28
BGR  1974     24.50     24.38
BGR  1975     24.45     24.33
BGR  1976     24.32     24.20
BGR  1977     24.19     24.08
BGR  1978     24.07     23.98
BGR  1979     23.98     23.88
BGR  1980     23.88     23.78
BGR  1981     23.92     23.82
BGR  1982     23.82     23.72
